country	count
乌干达	1
德国（后入以色列国籍）	1
日本特务	1
新西兰	5
波兰华沙	1
天津 宁河县	1
比利时	4
埃及	4
挪威	13
荷兰	16
欧美	1
匈牙利	2
中国 （据说祖上有澳洲血统）	1
以色列	4
瑞典	31
中国	2419
墨西哥	4
大韩民国	2
罗马尼亚	7
非裔美人	1
泰国（双国籍）	1
美国（洛杉矶）	1
黎巴嫩	1
丹麦	9
奥地利	4
北欧地区	1
德国	50
沃辛	2
意大利	21
哈萨克斯坦	2
阿伦戴尔（虚构王国）	1
英格兰	3
乌克兰	3
美籍华人	1
Belgium（比利时)	1
澳洲	1
俄罗斯	8
明朝	1
牙买加	3
巴巴多斯	1
韩国（双重国籍）	1
西班牙	19
泰国（待考证）语言	1
瑞典籍伊朗人	1
保加利亚	3
尼泊尔	1
韩美	1
新加坡	32
美国(俄裔)	1
芬兰	11
东汉	1
尼日利亚	2
希腊	1
韓國	1
摩洛哥	2
美国\日本双国籍（22岁以前）	1
神州	1
中日混血儿	1
捷克共和国	1
全员日本国籍	1
英国	162
美国	559
日本国	2
乌兹别克斯坦	2
美利坚合众国	4
瑞士	5
英国（威尔士）	1
朝鲜	1
汉	2
波多黎各	2
苏格兰	3
巴西	12
中國	1
爱尔兰	17
菲律宾籍	1
弗吉尼亚州	1
伦敦	1
土耳其	3
印度尼西亚	2
阿曼	1
加拿大	80
英国（双重国籍）	1
萨尔瓦多	1
挪威双重国籍	1
菲律宾	7
中华人民共和国	205
泰国	95
波兰	4
不丹	1
苏联	1
莫斯科	1
沙特阿拉伯	1
日本宫崎县	1
United Kingdom	1
齐国（北魏→北齐）	1
伊朗	1
南非（双重国籍）	1
罗马	2
印度	8
卡塔尔	1
韩国	943
英国国籍（日本裔）	1
西汉	1
马来西亚	45
新加坡共和国	1
阿根廷的	1
法国	52
澳大利亚	36
韩国 	1
加拿大籍韩裔	1
哥伦比亚	1
美国马萨诸塞州	1
英格兰西约克夏	1
美籍	1
吉尔吉斯斯坦	1
越南	1
德裔美国	1
南非	2
美国 (越南裔)	1
北海道	1
印尼	1
冰岛	3
斯莱戈	1
克罗地亚	1
葡萄牙	2
西晋	1
大理国	1
韩国人	1
中韩混血组合	1
科威特	1
 英国	1
 中国	1
加 拿 大	1
美籍韩裔	2
拉脱维亚	1
赞比亚→美国	1
爱尔兰共和国	2
不详	1
美韩混血儿	1
日本	1558
美国 	1
中国（清朝）	1
