oc	count	rate
歌手	3594	0.412723932
演员	1833	0.210496096
声优	555	0.063734497
主持人	290	0.03330271
作曲家	226	0.025953147
音乐制作人	202	0.02319706
模特	181	0.020785485
音乐人	142	0.016306844
制作人	101	0.01159853
导演	93	0.010679835
乐队	79	0.009072118
音乐家	68	0.007808911
DJ	66	0.007579237
作家	62	0.00711989
舞者	61	0.007005053
艺人	53	0.006086357
说唱歌手	47	0.005397336
作词家	46	0.005282499
编剧	45	0.005167662
词曲作者	41	0.004708314
歌唱家	39	0.00447864
创作歌手	38	0.004363803
制片人	35	0.004019293
学生	34	0.003904456
吉他手	34	0.003904456
编曲家	33	0.003789619
摇滚乐队	33	0.003789619
原创音乐	33	0.003789619
词曲创作人	32	0.003674782
钢琴家	32	0.003674782
教师	25	0.002870923
作曲人	20	0.002296739
主持	20	0.002296739
乐团	20	0.002296739
MC	20	0.002296739
原创音乐人	19	0.002181902
演艺	19	0.002181902
影视演员	19	0.002181902
词曲创作者	19	0.002181902
演奏家	18	0.002067065
偶像	18	0.002067065
唱作人	17	0.001952228
作词人	17	0.001952228
设计师	17	0.001952228
商人	16	0.001837391
歌手组合	16	0.001837391
音乐创作人	14	0.001607717
唱片制作人	14	0.001607717
词曲作家	14	0.001607717
演唱组合	14	0.001607717
画家	13	0.00149288
创作型歌手	13	0.00149288
歌唱组合	13	0.00149288
组合	13	0.00149288
配音演员	12	0.001378043
创作人	12	0.001378043
企业家	12	0.001378043
民谣歌手	11	0.001263206
摄影师	11	0.001263206
主播	11	0.001263206
偶像组合	11	0.001263206
小提琴家	11	0.001263206
组合乐队	11	0.001263206
监制	10	0.001148369
教授	10	0.001148369
流行歌手	10	0.001148369
艺术家	10	0.001148369
音乐剧演员	10	0.001148369
舞台剧演员	10	0.001148369
词曲制作人	10	0.001148369
