school	count
早稻田	1
南开大学英语系	1
湖南长沙学院	1
Gregory-Portland High School	1
韩国外侨学校(KFS)	1
南京艺术学院	1
USC	1
东首尔大学	1
日本大学	1
韩国檀国大学	1
香港圣士提反女子中学	1
台湾政治大学	1
申兴大学保健行政学科	1
明治大学附属中野高等学校（中退）	1
利兹大学纺织管理系一年级	1
拉斯维加斯艺术学院	1
日本磐田东高等学校	1
中央音乐学院歌剧系	1
东京女学馆高等部	1
早稻田大学文学部	1
浙江工业大学翻译专业	1
日本洼田理容美容专门学校	1
广告系	1
纽约大学艺术行政硕士	1
河北大学	1
江西教育学院	1
杭州大学成人教育学院	1
加拿大温斯顿爵士邱吉尔中等学校	1
日本播音演技研究所附属养成所	1
美国密歇根大学	1
St.George's School of Montreal	1
成城学园（初中	1
泰国商会大学	1
台湾淡江大学西语系	1
都立水元高中（高二休学）	1
中央大学第一校区（首尔）戏剧专业	1
上海曲艺剧团学馆	1
美术系	1
东京都立北园高等学校肄业	1
明知大学电影音乐剧学系	1
美国加利福尼亚洲大学	1
韩国仁川世元高中	1
伊顿公学	1
韩国艺术综合大学	1
韩国艺术综合大学表演系（退学）	1
西安工程技师学院	1
中国音乐学院（硕士）	1
北京师范大学	1
英迪国际大学	1
Salem High School	1
上海戏剧学院附属戏曲学校	1
加拿大约克大学	1
南洋理工大学	1
湘潭大学环境与资源学院2015级（就读中）	1
陕西省艺术学校	1
郑州轻工业学院	1
上海戏剧学院2001级表演系	1
庆熙大学言论情报大学院	1
中央戏剧学院表演系本科96班	1
Alberta College of Art and Design（Calgary）	1
桐朋学园音乐部	1
梅布尔园高中	1
法国圣德尼大学	1
日本大阪艺术大学	1
韩国第六理工大学（?????6??）龟尾校区机械工程系	1
娱乐传媒总合学院	1
贵州民族学院	1
内蒙古师范大学新闻采编与制作专业	1
韩国中央大学戏剧电影系（10级）	1
明知专门大学 中途退学	1
加州州立理工大学	1
美国哥伦比亚大学	1
上海越剧院	1
延世大学建筑学系	1
日本播音演技研究所（第11届毕业）	1
中南财经政法大学	1
艺术大学声乐	1
约布鲁克林“法兰克林”中学	1
佛州凯霍加山谷基督教学校	1
栃木县立壬生高等学校	1
武汉大学	1
中国音乐学院附中	1
东国大学戏剧电影系（就读中）	1
韩国国民大学戏剧电影系	1
明尼苏达大学卡尔森管理学院	1
韩国世翰大学	1
北京大学	1
美国伯克利音乐学院	1
数位首尔文化艺术大学	1
重庆大学美视电影学院	1
东海大学附属望星高校	1
嘉义市神州高中补校	1
BuRam高中	1
庆州大学酒店经营学	1
又松情报大学	1
香港演艺学院舞蹈系	1
上海戏剧学院电视艺术系	1
韩国体育大学	1
澳大利亚悉尼大学	1
浙江大学茶学系	1
八云学园	1
廖宝珊纪念书院	1
University of North Texas（北德克萨斯州大学）	1
广东星海音乐学院	1
武汉体育学院体育舞蹈专业	1
亲民技术学院二技进修部	1
山东鲁西南艺术学院	1
吉林师范大学附属学校	1
台东高级商业职业学校	1
日本大学文理学部社会学科（中途退学）	1
美国普鲁菲逊学校	1
内蒙古大学艺术学院	1
东京成德短期大学	1
诗纳卡宁威洛大学	1
日本大学艺术学部演剧科	1
仁德大学放送演艺专业	1
兵库县芦屋高等学校	1
陕西师范大学音乐学院	1
沈阳大学（王小海），沈阳音乐学院（王小玮）	1
泰国曼谷大学传播学院广告系	1
首尔翰林艺术高中（就读中）	1
巴黎卢浮宫学院（?cole du Louvre）	1
湖南大众传媒学院	1
俳协语音工作室	1
西安航空职业技术学院	1
迈阿密珊瑚公园高中	1
日本大学艺术部	1
四川外国语大学成都学院	1
嘉诺撒圣心商学书院	1
英国波斯顿大学	1
泉州七中	1
迈阿密大学	1
庆熙大学/建国大学/仁荷大学	1
大连艺术学院	1
福冈第一商业高等学校	1
香港大学	1
日出女子学园高等学校（中途退学）	1
青二塾东京校（25期毕业生）	1
易三仓大学	1
青山学院女子短期大学	1
视觉系摇滚乐团	1
大阪艺术大学	1
东京音乐大学	1
韩国仁荷大学艺术体育学院	1
爱尔兰国立大学（荣誉博士）	1
沈阳音乐学院-影视表演系	1
士官学校	1
品川女子学院	1
北京外国语大学	1
燕山大学计算机系	1
私立嘉南药理专科学校	1
辽宁财贸学院	1
波士顿Tuffs大学	1
加利福尼亚大学洛杉矶分校—舞蹈和通讯学学士(休学)	1
武汉音乐学院（本科）	1
台湾大学外文系肄业	1
中国科技大学(台湾)（原名为：中国市政专科学校）	1
美国加州大学IRVINE分校生物系	1
波拉瑞斯高中	1
国立成功大学	1
上海市东辉职业技术学校	1
中国音乐学院进修声乐	1
约翰·霍普金斯大学	1
基辅音乐学院 利先科音乐学院	1
东京都立向丘高等学校	1
EXPG大阪校	1
中南林业科技大学	1
天津市耀华中学	1
台北市立松山高级商业家事职业学校广告设计科	1
政治外交学硕士研究生(后退学)	1
国立嘉义技术学院农业经济系	1
Juilliard School	1
北海道札幌北陵高等学校	1
北京电影学院进修	1
东亚放送艺术学院实用音乐系	1
新疆警察学院	1
重庆市歌舞团	1
自由之森学园高等学校	1
洗足学园音乐大学声乐学科	1
东国大学表演艺术学硕士（在读）	1
韩国大庆大学实用音乐系	1
汉城艺术大学	1
神戸市立本山中学校	1
台湾实践学院	1
Pro·Fit声优养成所	1
国民大学演剧电影科	1
竹东高级中学	1
韩国映像大学演技专业	1
Dick Grove School of Music	1
沈阳外事服务学校	1
首尔翰林艺术高中（已毕业）	1
东首尔大学戏剧艺术学系	1
澳洲科技大学	1
湖南师范学院	1
新竹私立明新工业专科学校	1
首尔艺术大学（学士）	1
延边大学舞蹈系	1
SAE College Sydney	1
日本中央大学法学部	1
北京航空航天大学	1
南投三育基督学院	1
香港崇文英文书院	1
日本大学音乐学院	1
明治大学付属中野高等学校	1
费拉青训	1
日本大学文理学部哲学科	1
中央音乐学院	1
亚凯迪亚高中（Arcadia High School）10年级	1
西北政法大学	1
兰实大学管理系	1
韩国弘益大学艺术系	1
星海音乐学院流行音乐演唱系	1
电影学院	1
中央戏曲学院	1
华中科技大学	1
中北国际演艺专修学校	1
圣约翰大学	1
加拿大维多利亚大学	1
德明财经科技大学	1
安徽省艺术学校	1
上海戏剧学院12级木偶表演系	1
美国肯特州立大学	1
暻园专业大学幼儿教育学系	1
四川外国语大学重庆南方翻译学院	1
日本大学艺术学部演剧学科	1
国立中兴高级中学	1
台湾辅仁大学数学系，加州州立大学	1
孟菲斯大学	1
中国台湾明道大学	1
巴黎音乐学院	1
京畿高中，庆南大学视觉设计系	1
伦敦大学	1
庆应义塾大学法学部	1
John C. Fremont High School	1
中央戏剧学院进修	1
莱内尔高中	1
美国加州大学洛杉矶分校文化人类学系	1
南京大学外国语学院	1
国立云林科技大学	1
伦敦皇家音乐学院	1
香港科技大学生物系	1
明智专门大学 戏剧电影科	1
东京艺术大学音乐学部作曲科	1
内蒙古影视表演艺术学校影视表演	1
湖南师范大学音乐学院	1
国学院大学文学部	1
新疆音乐学院	1
北德克萨斯州大学	1
湖北医学院临床医学系	1
Los Osos High School	1
华东师范大学	1
北京舞蹈学院	1
AMUSEMENT MEDIA综合学院	1
西点军校	1
武警工程学院，并于解放军艺术学院进修	1
Hawaii Pacific University	1
埼玉县立越谷南高等学校	1
青山学院	1
同志社大学文学部哲学科 卒业	1
Atomic Monkey声优演技研究所	1
长沙理工大学	1
广西中医学院	1
大阪音乐大学	1
