,word,frequency,rate
0,想,152,0.011479495506381693
1,爱,106,0.008005437655766182
2,说,104,0.007854391662261158
3,制作,75,0.005664224756438335
4,中,65,0.004908994788913224
5,里,56,0.004229287818140624
6,世界,53,0.004002718827883091
7,想要,52,0.003927195831130579
8,声,49,0.003700626840873046
9,抖,48,0.0036251038441205345
10,爱情,41,0.0030964428668529566
11,听,41,0.0030964428668529566
12,做,39,0.0029453968733479346
13,心,38,0.002869873876595423
14,文化,38,0.002869873876595423
15,陪,37,0.002794350879842912
16,鸭,36,0.002718827883090401
17,太,35,0.0026433048863378898
18,走,34,0.0025677818895853788
19,监制,34,0.0025677818895853788
20,有限公司,33,0.0024922588928328678
21,拥抱,32,0.0024167358960803563
22,男,32,0.0024167358960803563
23,&#,32,0.0024167358960803563
24,126,32,0.0024167358960803563
25,音乐,31,0.0023412128993278453
26,吉他,31,0.0023412128993278453
27,女,31,0.0023412128993278453
28,喜欢,31,0.0023412128993278453
29,时间,30,0.0022656899025753343
30,蹦,30,0.0022656899025753343
31,可怕,29,0.002190166905822823
32,更,28,0.002114643909070312
33,离开,27,0.002039120912317801
34,花,27,0.002039120912317801
35,请,27,0.002039120912317801
36,没,27,0.002039120912317801
37,来个,27,0.002039120912317801
38,生活,26,0.0019635979155652895
39,希望,26,0.0019635979155652895
40,小可爱,26,0.0019635979155652895
41,思念,25,0.0018880749188127785
42,寂寞,24,0.0018125519220602673
43,未来,24,0.0018125519220602673
44,发行,24,0.0018125519220602673
45,放下,24,0.0018125519220602673
46,美丽,24,0.0018125519220602673
47,哒,24,0.0018125519220602673
48,出品,23,0.0017370289253077563
49,夜,23,0.0017370289253077563
50,笑,23,0.0017370289253077563
51,回忆,23,0.0017370289253077563
52,勇敢,23,0.0017370289253077563
53,北京,23,0.0017370289253077563
54,忘记,22,0.001661505928555245
55,母带,21,0.001585982931802734
56,公司,21,0.001585982931802734
57,某人,21,0.001585982931802734
58,时光,20,0.0015104599350502228
59,夏天,20,0.0015104599350502228
60,孤单,19,0.0014349369382977116
61,风,19,0.0014349369382977116
62,唱,19,0.0014349369382977116
63,放弃,19,0.0014349369382977116
64,黑夜,19,0.0014349369382977116
65,美好,18,0.0013594139415452006
66,当作,18,0.0013594139415452006
67,身边,18,0.0013594139415452006
68,也许,17,0.0012838909447926894
69,期待,17,0.0012838909447926894
70,明天,17,0.0012838909447926894
71,有人,17,0.0012838909447926894
72,找到,17,0.0012838909447926894
73,光,17,0.0012838909447926894
74,岁月,17,0.0012838909447926894
75,终于,17,0.0012838909447926894
76,保护,17,0.0012838909447926894
77,快,17,0.0012838909447926894
78,太阳,17,0.0012838909447926894
79,蹦蹦,17,0.0012838909447926894
80,我会,16,0.0012083679480401782
81,明白,16,0.0012083679480401782
82,懂,16,0.0012083679480401782
83,带,16,0.0012083679480401782
84,回家,16,0.0012083679480401782
85,一点,16,0.0012083679480401782
86,真的,16,0.0012083679480401782
87,天,16,0.0012083679480401782
88,快乐,16,0.0012083679480401782
89,梦想,16,0.0012083679480401782
90,身旁,16,0.0012083679480401782
91,孤独,16,0.0012083679480401782
92,梦,15,0.0011328449512876672
93,微笑,15,0.0011328449512876672
94,编写,15,0.0011328449512876672
95,彩虹,15,0.0011328449512876672
96,事情,15,0.0011328449512876672
97,感觉,15,0.0011328449512876672
98,剥,15,0.0011328449512876672
99,变得,14,0.001057321954535156
100,选择,14,0.001057321954535156
101,左边,14,0.001057321954535156
102,右边,14,0.001057321954535156
103,小嫦娥,14,0.001057321954535156
104,不用,14,0.001057321954535156
105,春风,14,0.001057321954535156
106,抱,14,0.001057321954535156
107,合,14,0.001057321954535156
108,阳光,14,0.001057321954535156
109,远方,14,0.001057321954535156
110,我爱你,14,0.001057321954535156
111,等待,13,0.0009817989577826447
112,理由,13,0.0009817989577826447
113,默默,13,0.0009817989577826447
114,画,13,0.0009817989577826447
115,依然,13,0.0009817989577826447
116,只能,13,0.0009817989577826447
117,流浪,13,0.0009817989577826447
118,梦里,13,0.0009817989577826447
119,叹,13,0.0009817989577826447
120,回答,13,0.0009817989577826447
121,鹅,13,0.0009817989577826447
122,吃,13,0.0009817989577826447
123,照亮,13,0.0009817989577826447
124,我要,13,0.0009817989577826447
125,雨,13,0.0009817989577826447
126,风景,13,0.0009817989577826447
127,真,13,0.0009817989577826447
128,疯狂,13,0.0009817989577826447
129,平凡,13,0.0009817989577826447
130,温柔,13,0.0009817989577826447
131,可不可以,13,0.0009817989577826447
132,猜,13,0.0009817989577826447
133,转身,12,0.0009062759610301336
134,慢慢,12,0.0009062759610301336
135,变,12,0.0009062759610301336
136,改变,12,0.0009062759610301336
137,出品人,12,0.0009062759610301336
138,好好,12,0.0009062759610301336
139,帮,12,0.0009062759610301336
140,好像,12,0.0009062759610301336
141,星星,12,0.0009062759610301336
142,简单,12,0.0009062759610301336
143,城市,12,0.0009062759610301336
144,故事,12,0.0009062759610301336
145,总,12,0.0009062759610301336
146,放开,11,0.0008307529642776225
147,甜蜜,11,0.0008307529642776225
148,距离,11,0.0008307529642776225
149,手,11,0.0008307529642776225
150,悲伤,11,0.0008307529642776225
151,繁华,11,0.0008307529642776225
152,绝望,11,0.0008307529642776225
153,摇摆,11,0.0008307529642776225
154,站,11,0.0008307529642776225
155,迷人,11,0.0008307529642776225
156,事,11,0.0008307529642776225
157,心跳,11,0.0008307529642776225
158,一句,11,0.0008307529642776225
159,心情,11,0.0008307529642776225
160,一生,11,0.0008307529642776225
161,那天,11,0.0008307529642776225
162,幻想,11,0.0008307529642776225
163,不停,11,0.0008307529642776225
164,吵,11,0.0008307529642776225
165,不到,10,0.0007552299675251114
166,不想,10,0.0007552299675251114
167,少,10,0.0007552299675251114
168,一场,10,0.0007552299675251114
169,企划,10,0.0007552299675251114
170,门,10,0.0007552299675251114
171,牵挂,10,0.0007552299675251114
172,月,10,0.0007552299675251114
173,落,10,0.0007552299675251114
174,心事,10,0.0007552299675251114
175,哭,10,0.0007552299675251114
176,灯,10,0.0007552299675251114
177,龙,10,0.0007552299675251114
178,两个,10,0.0007552299675251114
179,统筹,10,0.0007552299675251114
180,忧愁,10,0.0007552299675251114
181,蹉跎,10,0.0007552299675251114
182,歌唱,10,0.0007552299675251114
183,千年,10,0.0007552299675251114
184,一人,10,0.0007552299675251114
185,回到,10,0.0007552299675251114
186,朋友,10,0.0007552299675251114
187,吹,10,0.0007552299675251114
188,永远,10,0.0007552299675251114
189,一笔,10,0.0007552299675251114
190,配唱,10,0.0007552299675251114
191,怀里,10,0.0007552299675251114
192,有太多,10,0.0007552299675251114
193,浪漫,10,0.0007552299675251114
194,想念,10,0.0007552299675251114
195,方,10,0.0007552299675251114
196,全世界,10,0.0007552299675251114
197,之间,10,0.0007552299675251114
198,多想,10,0.0007552299675251114
199,脚步,10,0.0007552299675251114
200,烦恼,10,0.0007552299675251114
201,菜,10,0.0007552299675251114
202,自我,10,0.0007552299675251114
203,慢慢来,10,0.0007552299675251114
204,享受,10,0.0007552299675251114
