,birth_year,count
0,1897,1
1,2012,1
2,2015,1
3,1987,69
4,1923,1
5,1942,6
6,1978,44
7,1940,3
8,1981,55
9,1972,27
10,1952,8
11,1945,5
12,1957,15
13,1941,4
14,1975,24
15,1997,15
16,1980,48
17,1968,34
18,1967,36
19,1986,69
20,1949,8
21,1906,1
22,1998,14
23,1989,60
24,1925,2
25,1920,3
26,1966,27
27,1916,6
28,1962,23
29,1911,2
30,2007,1
31,1956,6
32,1938,2
33,1984,61
34,1943,2
35,1924,2
36,1974,37
37,1930,3
38,1946,3
39,1982,75
40,1990,55
41,1915,1
42,1936,1
43,1567,1
44,1914,1
45,1917,1
46,1947,9
47,1993,43
48,1985,41
49,1983,61
50,1935,3
51,1934,5
52,1893,1
53,1926,1
54,1950,8
55,1994,30
56,1918,1
57,1953,12
58,1965,25
59,1995,23
60,1992,64
61,2008,2
62,1922,2
63,1955,7
64,1991,49
65,2010,1
66,1996,31
67,2004,3
68,1948,6
69,1969,48
70,1910,1
71,1977,26
72,1944,3
73,1899,1
74,1963,25
75,2006,2
76,1960,14
77,1937,1
78,1999,10
79,1933,4
80,1961,17
81,1976,33
82,1912,1
83,1958,23
84,2013,2
85,1959,5
86,1970,26
87,1927,3
88,1908,1
89,1929,1
90,1885,1
91,1572,1
92,2001,12
93,1973,22
94,1964,17
95,1971,32
96,1979,50
97,2002,2
98,1928,1
99,1988,61
100,1951,3
101,2009,1
102,1913,1
103,1954,7
104,2011,1
105,2000,14
106,1931,6
107,1895,2
108,2003,1
