,school,count
0,上海音乐学院作曲系,1
1,北京舞蹈学院歌舞班,1
2,北京市风雷京剧团,1
3,天主教辅仁大学英文系,1
4,香港三育书院（肄业）,1
5,北京电影学院09表演系本科,1
6,北京现代音乐学院（就读）,1
7,北京现代音乐学院,1
8,天津体育学院运动与文化艺术学院,1
9,刘栋升：北京现代音乐学院,1
10,国际关系学院,1
11,台南光华女中（商专）,1
12,上海戏剧学院电视艺术系2001届,1
13,景文科技大学,1
14,解放军艺术学院（戏剧表演系）,1
15,首都师范大学音乐系,1
16,哈尔滨师范大学,1
17,亲民技术学院二技进修部,1
18,北京电影学院表演系本科2001级,1
19,四川成都艺术职业学院,1
20,R.C. Palmer Secondary School,1
21,台湾科技大学,1
22,四川外国语学院,1
23,延边大学艺术学院,1
24,西安音乐学院声乐系,1
25,电影学院,1
26,辽宁财贸学院,1
27,马公高中,1
28,中央美术学院,1
29,大连大学音乐学院,1
30,清华大学肄业,1
31,华冈艺术学校,1
32,玛利诺修院学校,1
33,茱莉亚音乐学院,1
34,西南财经大学,1
35,南京艺术学院艺术管理专业,1
36,长春大学音乐表演系,1
37,河北师范大学,1
38,竹东高级中学,1
39,西安音乐学院声乐表演专业,1
40,济南市第12中学,1
41,中央民族大学,1
42,东方文化学院,1
43,东北人民大学,1
44,中大博学（在读）,1
45,沈阳外事服务学校,1
46,北京电影学院进修,1
47,北京大学附属中学,1
48,圣路易斯大学金融系,1
49,中山大学,1
50,哈尔滨商业大学,1
51,中国戏曲学院,1
52,江西师范大学（音乐系本科班）,1
53,湖南公安高等专科学校,1
54,台北大学,1
55,北京解放军艺术学院舞蹈系,1
56,佛光大学人文社会学院（肄业）,1
57,美国肯特州立大学,1
58,大连现代影视学院,1
59,星海音乐学院流行音乐系,1
60,香港科技大学生物系,1
61,广东岭南职业技术学院,1
62,美国加州大学洛杉矶分校文化人类学系,1
63,福建三明音乐学院,1
64,中央音乐学院作曲系,1
65,四川外国语大学重庆南方翻译学院,1
66,私立真理大学,1
67,浙江传媒学院,1
68,纽约 Parsons School of Design 修读 Graphic Design,1
69,中央戏剧学院音乐剧表演专业（就读中）,1
70,北京服装学院服装表演专业,1
71,加拿大英属哥伦比亚大学,1
72,南加利福尼亚大学,1
73,中央戏剧学院音乐剧表演系,1
74,新加坡中学,1
75,中央戏剧学院2007级表演本科班,1
