,company,count
0,宜昌市平英文化传播有限公司,1
1,添翼创越工作室,1
2,通力时代,1
3,百娱时代,1
4,拉风工作室（Laughing Workshop）,1
5,江映蓉工作室,1
6,深圳市星时代文化有限公司,1
7,上华唱片（1985~1999）,1
8,伊能静工作室,1
9,风和日丽,1
10,太合音乐,1
11,成果经纪,1
12,戴荃工作室,1
13,北京杨家唱将演艺文化有限公司,1
14,芭乐文化传媒,1
15,北京诚利千代文化传媒有限公司,1
16,北京太合麦田音乐文化发展有限公司,1
17,超能唱片,1
18,红韵音乐公司,1
19,光线传媒有限公司,1
20,索卡尼娱乐,1
21,WMA威廉莫里斯经纪公司,1
22,香港青苹果唱片国际股份有限公司,1
23,星浪潮明星经纪,1
24,唐羽文化,1
25,北京东方泛音文化传播有限公司,1
26,君为传播,1
27,综一唱片,1
28,永佳电影公司,1
29,红熠文化,1
30,星伦传媒,1
31,大象音乐,1
32,黄英工作室,1
33,百艺星图,1
34,金牌大风娱乐事业有限公司,1
35,上海剧励影视传媒有限公司,1
36,云梵文化经纪公司,1
37,东阳秋水堂影视有限公司,1
38,十三月唱片,1
39,胡兵工作室,1
40,天熹娱乐,1
41,北京博众星和影视有限公司,1
42,香港英皇娱乐集团,1
43,华纳唱片香港有限公司,1
44,中艺博悦传媒,1
45,戏梦堂娱乐经纪有限公司,1
46,通力时代（北京）文化有限公司,1
47,中唱艺能（北京）有限公司,1
48,宏声艺人经纪有限公司,1
49,张柏芝工作室,1
50,Sony BMG,1
51,北京百娱时代国际文化传媒有限公司,1
52,奇大音乐,1
53,乐华娱乐,1
54,北京盛世辉文化传播有限公司,1
55,北京艾高时代国际文化传媒有限公司,1
56,賦音樂,1
57,大名娱乐,1
58,北京和颂文化经纪有限公司,1
59,北京世邦博文文化经纪有限公司,1
60,“永星”唱片公司,1
61,俞灏明工作室,1
62,福茂唱片音乐股份有限公司,1
63,Sony BMG Music,1
64,太合音乐集团,1
65,君乐天禧传媒,1
66,香港TVB,1
67,麦锐娱乐,1
68,北京七宏佳艺文化发展有限公司,1
69,林加格传媒,1
70,上海久尚演艺经纪有限公司,1
71,盛弘娱乐,1
72,嘉田传媒,1
73,邓超工作室,1
74,环球音乐,1
75,华谊音乐,1
76,百娱传媒股份有限公司（中国）,1
77,普宁乔韵文化,1
78,新艺宝唱片（1990-1996）,1
79,艾敬工作室,1
80,韩雪工作室,1
81,太阳娱乐文化( Suncity 818),1
82,中国音乐著作权协会(1993 - ),1
83,黄礼格工作室,1
84,佟大为工作室,1
85,北京百娱国际文化传媒有限公司,1
86,乐扑盛世文化公司,1
87,萨摩亚商妮乐佛创意有限公司台湾分公司,1
88,北京福熹嘉禾文化传播有限公司,1
89,犬象公司,1
90,KATIE CHAN PRODUCTIONS CO.LTD,1
91,摆渡人音乐工作室,1
92,爱情海唱片,1
